contrast	name	fdr_threshold	dge_database	dge_db_table	dge_plot_database	dge_plot_db_table	dge_plot_rows	dge_full_rows
CD_Cecum_vs_CD_Ileum_No	CD Cecum vs CD Ileum No	7.31524086561997e-25	host/db/dge/CD_Cecum_vs_CD_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Cecum_vs_CD_Ileum_No.sqlite.gz	host_dge_plot	4997	68391
CD_Cecum_vs_CD_Transverse	CD Cecum vs CD Transverse	0.1	host/db/dge/CD_Cecum_vs_CD_Transverse.sqlite.gz	host_dge	host/db/dge_plot/CD_Cecum_vs_CD_Transverse.sqlite.gz	host_dge_plot	3725	68391
CD_Cecum_vs_Healthy_Cecum	CD Cecum vs Healthy Cecum	0.1	host/db/dge/CD_Cecum_vs_Healthy_Cecum.sqlite.gz	host_dge	host/db/dge_plot/CD_Cecum_vs_Healthy_Cecum.sqlite.gz	host_dge_plot	4209	68391
CD_Cecum_vs_Healthy_Colon	CD Cecum vs Healthy Colon	1.1567482924815e-13	host/db/dge/CD_Cecum_vs_Healthy_Colon.sqlite.gz	host_dge	host/db/dge_plot/CD_Cecum_vs_Healthy_Colon.sqlite.gz	host_dge_plot	4999	68391
CD_Cecum_vs_Healthy_Ileum_No	CD Cecum vs Healthy Ileum No	1.57396047183055e-14	host/db/dge/CD_Cecum_vs_Healthy_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Cecum_vs_Healthy_Ileum_No.sqlite.gz	host_dge_plot	4999	68391
CD_Cecum_vs_Healthy_Sigmoid	CD Cecum vs Healthy Sigmoid	0.1	host/db/dge/CD_Cecum_vs_Healthy_Sigmoid.sqlite.gz	host_dge	host/db/dge_plot/CD_Cecum_vs_Healthy_Sigmoid.sqlite.gz	host_dge_plot	3972	68391
CD_Cecum_vs_UC_Cecum	CD Cecum vs UC Cecum	0.1	host/db/dge/CD_Cecum_vs_UC_Cecum.sqlite.gz	host_dge	host/db/dge_plot/CD_Cecum_vs_UC_Cecum.sqlite.gz	host_dge_plot	4035	68391
CD_Cecum_vs_UC_Ileum_No	CD Cecum vs UC Ileum No	2.33430446011434e-17	host/db/dge/CD_Cecum_vs_UC_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Cecum_vs_UC_Ileum_No.sqlite.gz	host_dge_plot	4998	68391
CD_Cecum_vs_UC_Sigmoid	CD Cecum vs UC Sigmoid	0.0471062244996172	host/db/dge/CD_Cecum_vs_UC_Sigmoid.sqlite.gz	host_dge	host/db/dge_plot/CD_Cecum_vs_UC_Sigmoid.sqlite.gz	host_dge_plot	4998	68391
CD_Cecum_vs_UC_Transverse	CD Cecum vs UC Transverse	0.1	host/db/dge/CD_Cecum_vs_UC_Transverse.sqlite.gz	host_dge	host/db/dge_plot/CD_Cecum_vs_UC_Transverse.sqlite.gz	host_dge_plot	3949	68391
CD_Colon_vs_CD_Cecum	CD Colon vs CD Cecum	4.59997803438673e-05	host/db/dge/CD_Colon_vs_CD_Cecum.sqlite.gz	host_dge	host/db/dge_plot/CD_Colon_vs_CD_Cecum.sqlite.gz	host_dge_plot	4999	68391
CD_Colon_vs_CD_Ileum_No	CD Colon vs CD Ileum No	4.37588376482646e-33	host/db/dge/CD_Colon_vs_CD_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Colon_vs_CD_Ileum_No.sqlite.gz	host_dge_plot	4992	68391
CD_Colon_vs_CD_Transverse	CD Colon vs CD Transverse	0.00167412145913765	host/db/dge/CD_Colon_vs_CD_Transverse.sqlite.gz	host_dge	host/db/dge_plot/CD_Colon_vs_CD_Transverse.sqlite.gz	host_dge_plot	4999	68391
CD_Colon_vs_Healthy_Cecum	CD Colon vs Healthy Cecum	0.000118184731719883	host/db/dge/CD_Colon_vs_Healthy_Cecum.sqlite.gz	host_dge	host/db/dge_plot/CD_Colon_vs_Healthy_Cecum.sqlite.gz	host_dge_plot	4999	68391
CD_Colon_vs_Healthy_Colon	CD Colon vs Healthy Colon	4.82272114415523e-10	host/db/dge/CD_Colon_vs_Healthy_Colon.sqlite.gz	host_dge	host/db/dge_plot/CD_Colon_vs_Healthy_Colon.sqlite.gz	host_dge_plot	4999	68391
CD_Colon_vs_Healthy_Ileum_No	CD Colon vs Healthy Ileum No	4.98129189006731e-15	host/db/dge/CD_Colon_vs_Healthy_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Colon_vs_Healthy_Ileum_No.sqlite.gz	host_dge_plot	4998	68391
CD_Colon_vs_Healthy_Rectum	CD Colon vs Healthy Rectum	3.37666310091956e-12	host/db/dge/CD_Colon_vs_Healthy_Rectum.sqlite.gz	host_dge	host/db/dge_plot/CD_Colon_vs_Healthy_Rectum.sqlite.gz	host_dge_plot	4999	68391
CD_Colon_vs_Healthy_Sigmoid	CD Colon vs Healthy Sigmoid	0.1	host/db/dge/CD_Colon_vs_Healthy_Sigmoid.sqlite.gz	host_dge	host/db/dge_plot/CD_Colon_vs_Healthy_Sigmoid.sqlite.gz	host_dge_plot	3907	68391
CD_Colon_vs_UC_Cecum	CD Colon vs UC Cecum	3.89757678083745e-05	host/db/dge/CD_Colon_vs_UC_Cecum.sqlite.gz	host_dge	host/db/dge_plot/CD_Colon_vs_UC_Cecum.sqlite.gz	host_dge_plot	4999	68391
CD_Colon_vs_UC_Colon	CD Colon vs UC Colon	0.00376621984862164	host/db/dge/CD_Colon_vs_UC_Colon.sqlite.gz	host_dge	host/db/dge_plot/CD_Colon_vs_UC_Colon.sqlite.gz	host_dge_plot	4999	68391
CD_Colon_vs_UC_Ileum_No	CD Colon vs UC Ileum No	2.26592185859185e-19	host/db/dge/CD_Colon_vs_UC_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Colon_vs_UC_Ileum_No.sqlite.gz	host_dge_plot	4997	68391
CD_Colon_vs_UC_Ileum	CD Colon vs UC Ileum	1.46579223816306e-18	host/db/dge/CD_Colon_vs_UC_Ileum.sqlite.gz	host_dge	host/db/dge_plot/CD_Colon_vs_UC_Ileum.sqlite.gz	host_dge_plot	4999	68391
CD_Colon_vs_UC_Sigmoid	CD Colon vs UC Sigmoid	6.08359965714619e-05	host/db/dge/CD_Colon_vs_UC_Sigmoid.sqlite.gz	host_dge	host/db/dge_plot/CD_Colon_vs_UC_Sigmoid.sqlite.gz	host_dge_plot	4999	68391
CD_Colon_vs_UC_Transverse	CD Colon vs UC Transverse	0.000389578827955697	host/db/dge/CD_Colon_vs_UC_Transverse.sqlite.gz	host_dge	host/db/dge_plot/CD_Colon_vs_UC_Transverse.sqlite.gz	host_dge_plot	4999	68391
CD_Ileum_No_vs_Healthy_Ileum_No	CD Ileum No vs Healthy Ileum No	0.00748050913441623	host/db/dge/CD_Ileum_No_vs_Healthy_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_No_vs_Healthy_Ileum_No.sqlite.gz	host_dge_plot	4999	68391
CD_Ileum_No_vs_UC_Ileum_No	CD Ileum No vs UC Ileum No	0.017042279349162	host/db/dge/CD_Ileum_No_vs_UC_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_No_vs_UC_Ileum_No.sqlite.gz	host_dge_plot	4999	68391
CD_Ileum_vs_CD_Cecum	CD Ileum vs CD Cecum	6.41132533661658e-07	host/db/dge/CD_Ileum_vs_CD_Cecum.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_CD_Cecum.sqlite.gz	host_dge_plot	4999	68391
CD_Ileum_vs_CD_Colon	CD Ileum vs CD Colon	4.29430891346908e-20	host/db/dge/CD_Ileum_vs_CD_Colon.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_CD_Colon.sqlite.gz	host_dge_plot	4999	68391
CD_Ileum_vs_CD_Ileum_No	CD Ileum vs CD Ileum No	8.17753189452702e-39	host/db/dge/CD_Ileum_vs_CD_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Ileum_vs_CD_Ileum_No.sqlite.gz	host_dge_plot	4990	68391
